ID,LAT,LNG
219,292142.5094,9238418.572
220,292142.4237,9238417.306
221,292142.3371,9238416.03
222,292142.1615,9238413.446
223,292142.0727,9238412.136
224,292141.9833,9238410.813
225,292141.8934,9238409.476
226,292141.8031,9238408.125
227,292141.613,9238405.259
228,292141.3415,9238401.038
229,292141.0693,9238396.624
230,292140.8467,9238392.817
231,292140.668,9238389.632
232,292140.4919,9238386.341
233,292140.3188,9238382.94
234,292140.1494,9238379.42
235,292139.9845,9238375.775
236,292139.8229,9238371.963
237,292139.6681,9238368.021
238,292139.515,9238363.75
239,292139.3604,9238358.992
240,292139.1978,9238353.468
241,292139.0796,9238349.006
242,292138.9988,9238345.752
243,292138.9199,9238342.324
244,292138.8441,9238338.729
245,292138.7725,9238334.971
246,292138.7064,9238331.056
247,292138.6174,9238324.975
248,292152.3359,9238332.782
249,292165.1371,9238326.131
250,292192.3303,9238320.031
251,292249.214,9238320.031
252,292266.5868,9238320.203
253,292273.5232,9238320.272
254,292283.5132,9238327.135
255,292294.0575,9238325.194
256,292298.2197,9238335.453
257,292310.4289,9238333.512
258,292319.5194,9238332.067
259,292333.1824,9238334.344
260,292333.4599,9238322.421
261,292330.864,9238310.069
262,292326.1553,9238305.464
263,292320.9548,9238249.846
264,292311.5482,9238182.176
265,292308.4535,9238158.03
266,292312.3395,9238160.482
267,292321.1341,9238163.548
268,292325.7083,9238165.363
269,292326.3535,9238165.569
270,292329.8235,9238166.502
271,292333.5096,9238167.303
272,292337.4447,9238167.958
273,292341.6615,9238168.449
274,292346.193,9238168.763
275,292351.0721,9238168.882
276,292356.3316,9238168.792
277,292361.9871,9238168.484
278,292364.4637,9238168.278
279,292367.9851,9238167.984
280,292374.2548,9238167.322
281,292380.7254,9238166.531
282,292387.326,9238165.644
283,292393.9859,9238164.691
284,292400.6341,9238163.706
285,292407.1999,9238162.72
286,292413.6251,9238161.761
287,292414.3247,9238161.658
288,292419.9015,9238160.838
289,292426.0337,9238159.956
290,292432.026,9238159.119
291,292437.883,9238158.331
292,292443.6092,9238157.598
293,292449.2089,9238156.923
294,292454.6868,9238156.312
295,292459.1198,9238155.859
296,292460.0463,9238155.764
297,292465.2881,9238155.26
298,292470.4116,9238154.775
299,292475.4166,9238154.286
300,292480.3027,9238153.767
301,292485.0695,9238153.195
302,292489.7165,9238152.546
303,292494.2435,9238151.796
304,292498.656,9238150.924
305,292502.9829,9238149.929
306,292507.2592,9238148.816
307,292511.5198,9238147.587
308,292515.7995,9238146.247
309,292519.0785,9238145.15
310,292561.6348,9238156.92
311,292580.4251,9238148.705
312,292630.5324,9238141.273
313,292667.3503,9238133.527
314,292671.2389,9238132.709
315,292670.5997,9238128.809
316,292669.5653,9238122.679
317,292668.5178,9238116.61
318,292667.4645,9238110.602
319,292666.4151,9238104.683
320,292665.38,9238098.885
321,292664.3692,9238093.241
322,292663.3933,9238087.783
323,292662.4623,9238082.542
324,292661.5866,9238077.553
325,292660.7765,9238072.846
326,292660.0403,9238068.447
327,292659.3791,9238064.351
328,292658.7919,9238060.546
329,292658.2778,9238057.02
330,292657.8358,9238053.761
331,292657.4652,9238050.755
332,292657.0194,9238046.653
333,292656.715,9238042.392
334,292656.5545,9238038.995
335,292656.4627,9238037.097
336,292656.3518,9238035.265
337,292656.1998,9238033.46
338,292655.9847,9238031.644
339,292655.6847,9238029.778
340,292655.2796,9238027.823
341,292654.7567,9238025.731
342,292654.1051,9238023.452
343,292653.3138,9238020.936
344,292652.3719,9238018.134
345,292651.2684,9238014.996
346,292649.9925,9238011.471
347,292648.5332,9238007.512
348,292646.8856,9238003.081
349,292645.0692,9237998.202
350,292643.1094,9237992.913
351,292641.0319,9237987.252
